Timestamp; Table Name; Topic Name; Value
1678668461271; SmartDashboard; Pose (Estimated); (5.325, -0.367, -32.8 degrees)
1678668461271; SmartDashboard; Wheel Encoder Positions; (0.000, -0.720)
1678668461271; limelight; botpose; [5.280731941431573, -0.3480802688441606, 0.3628721660594957, 2.7151749649079098, 1.0989415058898284, -26.319859219809143]
1678668461271; SmartDashboard; Pose (LimeLight); (5.281, -0.348, -26.3 degrees)
1678668461358; limelight; botpose; [5.280819669895636, -0.3442404996808349, 0.34319428463355867, 3.025818734770595, 0.5913789664663655, -26.355313333118232]
1678668461358; SmartDashboard; Pose (LimeLight); (5.281, -0.344, -26.4 degrees)
1678668461358; SmartDashboard; Pose (Estimated); (5.320, -0.365, -32.1 degrees)
1678668461457; limelight; botpose; [5.2650914274172065, -0.36229087277394345, 0.3680394805173723, 2.680590886462842, 1.2497009391522653, -25.797047283791006]
1678668461457; SmartDashboard; Pose (LimeLight); (5.265, -0.362, -25.8 degrees)
1678668461457; SmartDashboard; Pose (Estimated); (5.315, -0.365, -31.5 degrees)
1678668461557; limelight; botpose; [5.273314704194401, -0.35250902741074347, 0.36843631765182355, 2.6485465192428985, 1.2552689154405747, -26.124287622173586]
1678668461558; SmartDashboard; Pose (LimeLight); (5.273, -0.353, -26.1 degrees)
1678668461558; SmartDashboard; Pose (Estimated); (5.311, -0.363, -31.0 degrees)
1678668461689; limelight; botpose; [5.269844210905203, -0.34955186143985184, 0.36486612167683374, 2.6312362244637404, 1.1868624628035989, -26.170570905547244]
1678668461690; SmartDashboard; Pose (LimeLight); (5.270, -0.350, -26.2 degrees)
1678668461690; SmartDashboard; Pose (Estimated); (5.307, -0.361, -30.5 degrees)
1678668461758; SmartDashboard; Pose (Estimated); (5.300, -0.360, -29.7 degrees)
1678668461758; limelight; botpose; [5.267670110837314, -0.35929493040373306, 0.38378723571659257, 2.6660695207590477, 1.6798082350763703, -25.89968251411101]
1678668461758; SmartDashboard; Pose (LimeLight); (5.268, -0.359, -25.9 degrees)
1678668461858; limelight; botpose; [5.269298578167538, -0.3566781917218676, 0.3599188190126475, 2.6758572501688267, 1.0480079000571119, -25.983981285176103]
1678668461858; SmartDashboard; Pose (LimeLight); (5.269, -0.357, -26.0 degrees)
1678668461858; SmartDashboard; Pose (Estimated); (5.297, -0.360, -29.3 degrees)
1678668461957; limelight; botpose; [5.270587525514283, -0.3517798732147508, 0.3735043731982412, 2.8389310112649704, 1.4092521813060874, -26.12275433293094]
1678668461958; SmartDashboard; Pose (LimeLight); (5.271, -0.352, -26.1 degrees)
1678668461958; SmartDashboard; Pose (Estimated); (5.294, -0.359, -29.0 degrees)
1678668462058; SmartDashboard; Pose (Estimated); (5.294, -0.360, -28.1 degrees)
1678668462058; SmartDashboard; Wheel Encoder Positions; (0.000, -0.714)
1678668462058; limelight; botpose; [5.266037894959566, -0.35827415679757035, 0.36214457118783705, 2.7752118957692473, 1.1101240726128752, -25.976844923290116]
1678668462058; SmartDashboard; Pose (LimeLight); (5.266, -0.358, -26.0 degrees)
1678668462158; SmartDashboard; Pose (Estimated); (5.299, -0.364, -26.6 degrees)
1678668462158; SmartDashboard; Wheel Encoder Positions; (0.000, -0.698)
1678668462158; limelight; botpose; [5.2742647147063835, -0.36372855189087533, 0.3369653247287887, 3.0156932346267977, 0.4379981737267706, -25.971381119822826]
1678668462158; SmartDashboard; Pose (LimeLight); (5.274, -0.364, -26.0 degrees)
1678668462258; limelight; botpose; [5.317544035902877, -0.3371010563649283, 0.30638712554646536, 3.47099095155475, -0.3543053449646798, -27.857512558337845]
1678668462258; SmartDashboard; Pose (Estimated); (5.306, -0.364, -25.4 degrees)
1678668462258; SmartDashboard; Wheel Encoder Positions; (0.000, -0.681)
1678668462258; SmartDashboard; Pose (LimeLight); (5.318, -0.337, -27.9 degrees)
1678668462357; SmartDashboard; Pose (Estimated); (5.314, -0.365, -24.3 degrees)
1678668462358; SmartDashboard; Wheel Encoder Positions; (0.000, -0.665)
1678668462358; limelight; botpose; [5.355463230772126, -0.32156586595465403, 0.2931123859673842, 3.871173170417234, -0.5627641215023858, -30.00295919135463]
1678668462457; SmartDashboard; Pose (Estimated); (5.323, -0.369, -22.5 degrees)
1678668462458; SmartDashboard; Wheel Encoder Positions; (0.000, -0.645)
1678668462458; limelight; botpose; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1678668462458; SmartDashboard; Pose (LimeLight); null
1678668462558; SmartDashboard; Pose (Estimated); (5.341, -0.371, -22.0 degrees)
1678668462558; SmartDashboard; Wheel Encoder Positions; (0.000, -0.624)
1678668462558; limelight; botpose; [5.407552131587105, -0.3528843453326446, 0.2860479388604605, 4.361317511439582, -0.398518695814971, -34.422659370408425]
1678668462558; SmartDashboard; Pose (LimeLight); (5.408, -0.353, -34.4 degrees)
1678668462740; SmartDashboard; Pose (Estimated); (5.360, -0.374, -21.5 degrees)
1678668462741; SmartDashboard; Wheel Encoder Positions; (0.000, -0.602)
1678668462741; limelight; botpose; [5.4321223890653805, -0.3588816057922569, 0.2678041230240012, 4.837878583528245, -0.7114561288682903, -36.01848171461358]
1678668462741; SmartDashboard; Pose (LimeLight); (5.432, -0.359, -36.0 degrees)
1678668462757; limelight; botpose; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1678668462757; SmartDashboard; Pose (Estimated); (5.383, -0.376, -21.4 degrees)
1678668462757; SmartDashboard; Wheel Encoder Positions; (0.000, -0.580)
1678668462757; SmartDashboard; Pose (LimeLight); null
1678668462863; SmartDashboard; Pose (Estimated); (5.393, -0.380, -19.4 degrees)
1678668462863; SmartDashboard; Wheel Encoder Positions; (0.000, -0.557)
1678668462972; SmartDashboard; Pose (Estimated); (5.405, -0.384, -17.3 degrees)
1678668462972; SmartDashboard; Wheel Encoder Positions; (0.000, -0.534)
1678668463058; SmartDashboard; Pose (Estimated); (5.416, -0.387, -15.3 degrees)
1678668463059; SmartDashboard; Wheel Encoder Positions; (0.000, -0.510)
1678668463159; SmartDashboard; Pose (Estimated); (5.427, -0.390, -13.3 degrees)
1678668463159; SmartDashboard; Wheel Encoder Positions; (0.000, -0.488)
1678668463259; SmartDashboard; Pose (Estimated); (5.437, -0.392, -11.5 degrees)
1678668463259; SmartDashboard; Wheel Encoder Positions; (0.000, -0.467)
1678668463359; SmartDashboard; Pose (Estimated); (5.447, -0.394, -9.7 degrees)
1678668463359; SmartDashboard; Wheel Encoder Positions; (0.000, -0.447)
1678668463460; SmartDashboard; Pose (Estimated); (5.458, -0.396, -7.7 degrees)
1678668463460; SmartDashboard; Wheel Encoder Positions; (0.000, -0.424)
1678668463558; SmartDashboard; Pose (Estimated); (5.465, -0.397, -6.4 degrees)
1678668463558; SmartDashboard; Wheel Encoder Positions; (0.000, -0.410)
1678668463659; SmartDashboard; Pose (Estimated); (5.474, -0.398, -4.8 degrees)
1678668463659; SmartDashboard; Wheel Encoder Positions; (0.000, -0.392)
1678668463786; SmartDashboard; Pose (Estimated); (5.483, -0.399, -3.2 degrees)
1678668463786; SmartDashboard; Wheel Encoder Positions; (0.000, -0.373)
1678668463887; SmartDashboard; Pose (Estimated); (5.493, -0.399, -1.5 degrees)
1678668463888; SmartDashboard; Wheel Encoder Positions; (0.000, -0.354)
1678668463985; SmartDashboard; Pose (Estimated); (5.502, -0.399, 0.1 degrees)
1678668463985; SmartDashboard; Wheel Encoder Positions; (0.000, -0.336)
1678668464060; SmartDashboard; Pose (Estimated); (5.511, -0.399, 1.7 degrees)
1678668464060; SmartDashboard; Wheel Encoder Positions; (0.000, -0.318)
1678668464160; SmartDashboard; Pose (Estimated); (5.519, -0.399, 3.1 degrees)
1678668464160; SmartDashboard; Wheel Encoder Positions; (0.000, -0.301)
1678668464265; SmartDashboard; Pose (Estimated); (5.526, -0.398, 4.4 degrees)
1678668464265; SmartDashboard; Wheel Encoder Positions; (0.000, -0.287)
1678668464359; SmartDashboard; Pose (Estimated); (5.534, -0.398, 5.7 degrees)
1678668464360; SmartDashboard; Wheel Encoder Positions; (0.000, -0.272)
1678668464466; SmartDashboard; Pose (Estimated); (5.541, -0.397, 6.9 degrees)
1678668464466; SmartDashboard; Wheel Encoder Positions; (0.000, -0.258)
1678668464560; SmartDashboard; Pose (Estimated); (5.548, -0.396, 8.2 degrees)
1678668464561; SmartDashboard; Wheel Encoder Positions; (0.000, -0.244)
1678668464660; SmartDashboard; Pose (Estimated); (5.553, -0.395, 9.0 degrees)
1678668464660; SmartDashboard; Wheel Encoder Positions; (0.000, -0.234)
1678668464834; SmartDashboard; Pose (Estimated); (5.557, -0.394, 9.9 degrees)
1678668464835; SmartDashboard; Wheel Encoder Positions; (0.000, -0.224)
1678668464860; SmartDashboard; Pose (Estimated); (5.563, -0.393, 10.9 degrees)
1678668464860; SmartDashboard; Wheel Encoder Positions; (0.000, -0.213)
1678668464960; SmartDashboard; Pose (Estimated); (5.568, -0.392, 11.8 degrees)
1678668464960; SmartDashboard; Wheel Encoder Positions; (0.000, -0.202)
1678668465059; SmartDashboard; Pose (Estimated); (5.573, -0.391, 12.7 degrees)
1678668465060; SmartDashboard; Wheel Encoder Positions; (0.000, -0.192)
1678668465161; SmartDashboard; Pose (Estimated); (5.578, -0.390, 13.6 degrees)
1678668465161; SmartDashboard; Wheel Encoder Positions; (0.000, -0.183)
1678668465260; SmartDashboard; Pose (Estimated); (5.581, -0.389, 14.2 degrees)
1678668465260; SmartDashboard; Wheel Encoder Positions; (0.000, -0.176)
1678668465359; SmartDashboard; Pose (Estimated); (5.583, -0.389, 14.5 degrees)
1678668465359; SmartDashboard; Wheel Encoder Positions; (0.000, -0.171)
1678668465777; SmartDashboard; Pose (Estimated); (5.580, -0.390, 13.9 degrees)
1678668465777; SmartDashboard; Wheel Encoder Positions; (0.000, -0.178)
1678668465882; SmartDashboard; Pose (Estimated); (5.575, -0.391, 12.9 degrees)
1678668465882; SmartDashboard; Wheel Encoder Positions; (0.000, -0.190)
1678668465961; SmartDashboard; Pose (Estimated); (5.570, -0.392, 12.1 degrees)
1678668465961; SmartDashboard; Wheel Encoder Positions; (0.000, -0.199)
1678668466061; SmartDashboard; Pose (Estimated); (5.566, -0.393, 11.3 degrees)
1678668466061; SmartDashboard; Wheel Encoder Positions; (0.000, -0.208)
1678668466162; SmartDashboard; Pose (Estimated); (5.562, -0.394, 10.6 degrees)
1678668466162; SmartDashboard; Wheel Encoder Positions; (0.000, -0.216)
1678668466261; SmartDashboard; Pose (Estimated); (5.557, -0.395, 9.9 degrees)
1678668466261; SmartDashboard; Wheel Encoder Positions; (0.000, -0.224)
1678668466361; SmartDashboard; Pose (Estimated); (5.553, -0.395, 9.0 degrees)
1678668466361; SmartDashboard; Wheel Encoder Positions; (0.000, -0.234)
1678668466470; SmartDashboard; Pose (Estimated); (5.548, -0.396, 8.2 degrees)
1678668466470; SmartDashboard; Wheel Encoder Positions; (0.000, -0.244)
1678668466584; SmartDashboard; Pose (Estimated); (5.543, -0.397, 7.3 degrees)
1678668466584; SmartDashboard; Wheel Encoder Positions; (0.000, -0.254)
1678668466662; SmartDashboard; Pose (Estimated); (5.538, -0.397, 6.4 degrees)
1678668466663; SmartDashboard; Wheel Encoder Positions; (0.000, -0.263)
1678668466763; SmartDashboard; Pose (Estimated); (5.533, -0.398, 5.5 degrees)
1678668466763; SmartDashboard; Wheel Encoder Positions; (0.000, -0.275)
1678668466932; SmartDashboard; Pose (Estimated); (5.528, -0.398, 4.6 degrees)
1678668466932; SmartDashboard; Wheel Encoder Positions; (0.000, -0.284)
1678668466962; SmartDashboard; Pose (Estimated); (5.524, -0.399, 3.9 degrees)
